time,open,close,high,low,volume,ret
2022-01-03,335.35,334.75,338.0,329.78,28918013.0,-0.017147124719940288
2022-01-04,334.83,329.01,335.2,326.12,32674306.0,-0.03838789094556394
2022-01-05,325.86,316.38,326.07,315.98,40054327.0,-0.007901890132119616
2022-01-06,313.15,313.88,318.7,311.49,39646148.0,0.000509748948642974
2022-01-07,314.15,314.04,316.5,310.09,32720018.0,0.0007323907782446071
2022-01-10,309.485,314.27,314.72,304.69,44289467.0,0.002259203869284576
2022-01-11,313.38,314.98,316.61,309.89,29386774.0,0.010445107625880912
2022-01-12,319.67,318.27,323.41,317.08,34372217.0,-0.04232255632010551
2022-01-13,320.4658,304.8,320.88,304.0,45365979.0,0.017716535433070835
2022-01-14,304.25,310.2,310.82,303.75,39846414.0,0.0
2022-01-17,310.2,310.2,310.2,310.2,0.0,-0.024339136041263698
2022-01-18,304.07,302.65,309.8,301.74,42434112.0,0.0022468197587972583
2022-01-19,306.29,303.33,313.9093,302.7,45933855.0,-0.00570335937757549
2022-01-20,309.07,301.6,311.6494,301.14,35380675.0,-0.018468169761273412
2022-01-21,302.685,296.03,304.11,295.61,57984403.0,0.0011485322433537615
2022-01-24,292.2,296.37,297.11,276.05,86035393.0,-0.026588386138947873
2022-01-25,291.52,288.49,294.99,285.17,72848638.0,0.028493188672050973
2022-01-26,307.985,296.71,308.5,293.03,90428853.0,0.010549020929527142
2022-01-27,302.66,299.84,307.3,297.93,53481317.0,0.028081643543223178
2022-01-28,300.23,308.26,308.48,294.45,49743698.0,0.00882372023616429
2022-01-31,308.95,310.98,312.38,306.37,46444536.0,-0.007138722747443649
2022-02-01,310.41,308.76,310.63,305.1293,40950396.0,0.015222179038735462
2022-02-02,309.63,313.46,315.12,308.88,36635989.0,-0.03895233841638479
2022-02-03,309.49,301.25,311.23,299.96,43729972.0,0.015568464730290499
2022-02-04,300.21,305.94,308.8,299.97,35096488.0,-0.016310387657710645
2022-02-07,306.17,300.95,307.84,299.9,28533286.0,0.011995348064462563
2022-02-08,301.25,304.56,305.561,299.95,32421188.0,0.021834778040451752
2022-02-09,309.865,311.21,311.93,307.39,31284671.0,-0.028373124256932614
2022-02-10,304.04,302.38,309.12,300.7,45386199.0,-0.02427409220186516
2022-02-11,303.19,295.04,304.29,294.22,39175620.0,-0.00013557483731030384
2022-02-14,293.77,295.0,296.76,291.35,36359487.0,0.018542372881356073
2022-02-15,300.008,300.47,300.8,297.02,27379488.0,-0.003228275701401273
2022-02-16,298.365,299.5,300.87,293.68,29982121.0,-0.029282136894824617
2022-02-17,296.36,290.73,296.8,290.0,32461580.0,-0.009630929040690739
2022-02-18,293.05,287.93,293.86,286.305,34264008.0,0.0
