open,close,high,low,volume,time,ret
335.35,334.75,338.0,329.78,28918013,2022-01-03,-0.017147124719940288
334.83,329.01,335.2,326.12,32674306,2022-01-04,-0.03838789094556394
325.86,316.38,326.07,315.98,40054327,2022-01-05,-0.007901890132119616
313.15,313.88,318.7,311.49,39646148,2022-01-06,0.000509748948642974
314.15,314.04,316.5,310.09,32720018,2022-01-07,0.0007323907782446071
309.485,314.27,314.72,304.69,44289467,2022-01-10,0.002259203869284576
313.38,314.98,316.61,309.89,29386774,2022-01-11,0.010445107625880912
319.67,318.27,323.41,317.08,34372217,2022-01-12,-0.04232255632010551
320.4658,304.8,320.88,304.0,45365979,2022-01-13,0.017716535433070835
304.25,310.2,310.82,303.75,39846414,2022-01-14,-0.024339136041263698
304.07,302.65,309.8,301.74,42434112,2022-01-18,0.0022468197587972583
306.29,303.33,313.9093,302.7,45933855,2022-01-19,-0.00570335937757549
309.07,301.6,311.6494,301.14,35380675,2022-01-20,-0.018468169761273412
302.685,296.03,304.11,295.61,57984403,2022-01-21,0.0011485322433537615
292.2,296.37,297.11,276.05,86035393,2022-01-24,-0.026588386138947873
291.52,288.49,294.99,285.17,72848638,2022-01-25,0.028493188672050973
307.985,296.71,308.5,293.03,90428853,2022-01-26,0.010549020929527142
302.66,299.84,307.3,297.93,53481317,2022-01-27,0.028081643543223178
300.23,308.26,308.48,294.45,49743698,2022-01-28,0.00882372023616429
308.95,310.98,312.38,306.37,46444536,2022-01-31,-0.007138722747443649
310.41,308.76,310.63,305.1293,40950396,2022-02-01,0.015222179038735462
309.63,313.46,315.12,308.88,36635989,2022-02-02,-0.03895233841638479
309.49,301.25,311.23,299.96,43729972,2022-02-03,0.015568464730290499
300.21,305.94,308.8,299.97,35096488,2022-02-04,-0.016310387657710645
306.17,300.95,307.84,299.9,28533286,2022-02-07,0.011995348064462563
301.25,304.56,305.561,299.95,32421188,2022-02-08,0.021834778040451752
309.865,311.21,311.93,307.39,31284671,2022-02-09,-0.028373124256932614
304.04,302.38,309.12,300.7,45386199,2022-02-10,-0.02427409220186516
303.19,295.04,304.29,294.22,39175620,2022-02-11,-0.00013557483731030384
293.77,295.0,296.76,291.35,36359487,2022-02-14,0.018542372881356073
300.008,300.47,300.8,297.02,27379488,2022-02-15,-0.003228275701401273
